date,runtype,distance,duration,pace,elevation,calories,hr,eventtype
2019-02-01,treadmill_running,10.0,3590.0,6.04,0,851.0,147.0,uncategorized
2019-02-02,treadmill_running,8.01,2799.0,5.91,0,639.0,142.0,uncategorized
2019-02-03,treadmill_running,10.02,3403.0,5.94,0,806.0,144.0,uncategorized
2019-02-05,treadmill_running,7.01,2294.0,5.82,0,505.0,143.0,uncategorized
2019-02-06,treadmill_running,5.26,1720.0,5.78,0,381.0,145.0,uncategorized
2019-02-12,treadmill_running,10.25,3409.0,5.85,0,721.0,143.0,uncategorized
2019-02-17,running,10.13,3465.56,5.73,68.0,713.0,143.0,uncategorized
2019-02-24,running,5.89,2041.0,5.82,42.0,466.0,150.0,uncategorized
2019-02-27,running,10.62,3541.13,5.76,79.0,764.0,145.0,uncategorized
2019-03-02,running,14.26,4902.27,5.92,119.0,1115.0,152.0,uncategorized
2019-03-03,running,7.77,2557.72,5.66,64.0,561.0,147.0,uncategorized
2019-03-16,treadmill_running,5.01,1820.0,6.48,0,428.0,148.0,uncategorized
2019-03-17,treadmill_running,6.65,2302.0,6.12,0,526.0,147.0,uncategorized
2019-03-18,treadmill_running,8.01,2781.0,6.1,0,629.0,147.0,uncategorized
2019-03-20,treadmill_running,9.58,3251.0,5.93,0,697.0,143.0,uncategorized
2019-03-21,treadmill_running,11.01,3777.54,6.01,0,892.0,153.0,uncategorized
2019-03-23,treadmill_running,9.51,3109.0,5.79,0,647.0,140.0,uncategorized
2019-03-24,treadmill_running,8.01,2586.0,5.75,0,485.0,133.0,uncategorized
2019-04-04,running,7.32,2539.94,6.0,52.0,582.0,155.0,uncategorized
2019-04-05,running,10.59,3688.51,6.01,77.0,848.0,157.0,uncategorized
2019-04-07,running,21.15,7618.03,6.19,80.0,1673.0,160.0,race
2019-04-13,running,7.62,2383.93,5.41,48.0,550.0,156.0,uncategorized
2019-04-14,running,10.76,3389.0,5.42,82.0,797.0,159.0,uncategorized
2019-04-20,treadmill_running,4.27,1353.0,5.51,0,280.0,139.0,uncategorized
2019-04-21,treadmill_running,6.01,1852.0,5.38,0,311.0,128.0,uncategorized
2019-04-23,treadmill_running,8.1,2441.0,5.29,0,526.0,144.0,uncategorized
2019-04-25,treadmill_running,10.03,3048.59,5.32,0,653.0,151.0,uncategorized
2019-05-01,running,3.69,1263.9,5.87,24.0,287.0,155.0,uncategorized
2019-05-02,running,7.26,2458.0,5.81,68.0,562.0,156.0,uncategorized
